"Customer ID","Segment","Cluster","Age","Age_Group","Gender","Location"
57,"Segment 1",1,41,"36-50","Male","Mississippi"
58,"Segment 1",1,21,"18-25","Male","West Virginia"
59,"Segment 2",2,69,"51-70","Male","Missouri"
60,"Segment 4",4,63,"51-70","Male","Louisiana"
61,"Segment 2",2,50,"36-50","Male","Idaho"
62,"Segment 4",4,55,"51-70","Male","Texas"
63,"Segment 1",1,30,"26-35","Male","Mississippi"
64,"Segment 3",3,33,"26-35","Male","Arizona"
65,"Segment 4",4,65,"51-70","Male","Alabama"
66,"Segment 2",2,65,"51-70","Male","New Jersey"
67,"Segment 1",1,31,"26-35","Male","Pennsylvania"
68,"Segment 2",2,45,"36-50","Male","Connecticut"
69,"Segment 2",2,57,"51-70","Male","Utah"
70,"Segment 1",1,48,"36-50","Male","Tennessee"
71,"Segment 1",1,22,"18-25","Male","Alabama"
72,"Segment 3",3,36,"36-50","Male","Virginia"
73,"Segment 3",3,18,"18-25","Male","Georgia"
74,"Segment 3",3,48,"36-50","Male","Hawaii"
75,"Segment 1",1,49,"36-50","Male","Indiana"
76,"Segment 4",4,64,"51-70","Male","Utah"
77,"Segment 2",2,50,"36-50","Male","Delaware"
78,"Segment 3",3,22,"18-25","Male","Delaware"
79,"Segment 4",4,50,"36-50","Male","Nebraska"
80,"Segment 3",3,38,"36-50","Male","Iowa"
81,"Segment 3",3,19,"18-25","Male","New York"
82,"Segment 4",4,67,"51-70","Male","Virginia"
83,"Segment 1",1,19,"18-25","Male","Georgia"
84,"Segment 1",1,36,"36-50","Male","Texas"
85,"Segment 2",2,52,"51-70","Male","Arizona"
86,"Segment 4",4,53,"51-70","Male","New Mexico"
87,"Segment 1",1,24,"18-25","Male","Nevada"
88,"Segment 2",2,52,"51-70","Male","Ohio"
89,"Segment 3",3,33,"26-35","Male","Wyoming"
90,"Segment 4",4,47,"36-50","Male","California"
91,"Segment 3",3,25,"18-25","Male","South Carolina"
92,"Segment 4",4,44,"36-50","Male","South Carolina"
93,"Segment 4",4,61,"51-70","Male","Texas"
94,"Segment 1",1,37,"36-50","Male","Florida"
95,"Segment 4",4,58,"51-70","Male","Nevada"
96,"Segment 4",4,37,"36-50","Male","Missouri"
97,"Segment 3",3,32,"26-35","Male","Delaware"
98,"Segment 1",1,21,"18-25","Male","Virginia"
99,"Segment 3",3,20,"18-25","Male","New York"
100,"Segment 1",1,26,"26-35","Male","Missouri"
101,"Segment 4",4,62,"51-70","Male","South Dakota"
102,"Segment 1",1,27,"26-35","Male","North Dakota"
103,"Segment 4",4,51,"51-70","Male","Oklahoma"
104,"Segment 4",4,54,"51-70","Male","West Virginia"
105,"Segment 2",2,55,"51-70","Male","New Hampshire"
106,"Segment 4",4,69,"51-70","Male","New York"
107,"Segment 2",2,64,"51-70","Male","Minnesota"
108,"Segment 3",3,28,"26-35","Male","Maryland"
109,"Segment 4",4,70,"51-70","Male","Montana"
110,"Segment 4",4,58,"51-70","Male","Alabama"
111,"Segment 2",2,56,"51-70","Male","New York"
112,"Segment 1",1,26,"26-35","Male","Massachusetts"
113,"Segment 1",1,37,"36-50","Male","Florida"
114,"Segment 3",3,44,"36-50","Male","New Jersey"
115,"Segment 4",4,70,"51-70","Male","Massachusetts"
116,"Segment 4",4,53,"51-70","Male","Wyoming"
117,"Segment 4",4,55,"51-70","Male","Virginia"
118,"Segment 2",2,50,"36-50","Male","South Dakota"
119,"Segment 1",1,50,"36-50","Male","Kentucky"
120,"Segment 1",1,38,"36-50","Male","Wyoming"
121,"Segment 4",4,64,"51-70","Male","West Virginia"
122,"Segment 1",1,19,"18-25","Male","Virginia"
123,"Segment 1",1,40,"36-50","Male","Washington"
124,"Segment 4",4,57,"51-70","Male","Louisiana"
125,"Segment 4",4,44,"36-50","Male","Nevada"
126,"Segment 2",2,49,"36-50","Male","California"
127,"Segment 2",2,43,"36-50","Male","Mississippi"
128,"Segment 1",1,24,"18-25","Male","Mississippi"
129,"Segment 1",1,20,"18-25","Male","California"
130,"Segment 1",1,24,"18-25","Male","Pennsylvania"
131,"Segment 2",2,44,"36-50","Male","Kentucky"
132,"Segment 1",1,28,"26-35","Male","Maine"
133,"Segment 1",1,30,"26-35","Male","New Mexico"
134,"Segment 3",3,52,"51-70","Male","Montana"
135,"Segment 4",4,43,"36-50","Male","Texas"
136,"Segment 4",4,43,"36-50","Male","Kansas"
137,"Segment 3",3,39,"36-50","Male","South Carolina"
138,"Segment 2",2,68,"51-70","Male","Colorado"
139,"Segment 2",2,68,"51-70","Male","Georgia"
140,"Segment 4",4,49,"36-50","Male","Florida"
141,"Segment 2",2,63,"51-70","Male","North Carolina"
142,"Segment 2",2,56,"51-70","Male","Virginia"
143,"Segment 3",3,37,"36-50","Male","Nebraska"
144,"Segment 3",3,30,"26-35","Male","Missouri"
145,"Segment 3",3,19,"18-25","Male","New Jersey"
146,"Segment 1",1,24,"18-25","Male","Missouri"
147,"Segment 2",2,52,"51-70","Male","Colorado"
148,"Segment 2",2,63,"51-70","Male","Idaho"
149,"Segment 3",3,37,"36-50","Male","Wyoming"
150,"Segment 3",3,38,"36-50","Male","Delaware"
151,"Segment 1",1,35,"26-35","Male","California"
152,"Segment 1",1,28,"26-35","Male","North Dakota"
153,"Segment 1",1,30,"26-35","Male","South Carolina"
154,"Segment 2",2,69,"51-70","Male","North Carolina"
155,"Segment 4",4,41,"36-50","Male","Oklahoma"
156,"Segment 4",4,63,"51-70","Male","Maine"
157,"Segment 1",1,35,"26-35","Male","Missouri"
158,"Segment 3",3,36,"36-50","Male","Vermont"
159,"Segment 1",1,25,"18-25","Male","Connecticut"
160,"Segment 2",2,58,"51-70","Male","New Hampshire"
161,"Segment 1",1,27,"26-35","Male","Texas"
162,"Segment 2",2,65,"51-70","Male","North Dakota"
163,"Segment 4",4,54,"51-70","Male","California"
164,"Segment 2",2,54,"51-70","Male","Virginia"
165,"Segment 2",2,59,"51-70","Male","Delaware"
166,"Segment 3",3,42,"36-50","Male","Kentucky"
167,"Segment 2",2,46,"36-50","Male","Delaware"
168,"Segment 1",1,33,"26-35","Male","Arkansas"
169,"Segment 3",3,34,"26-35","Male","Louisiana"
170,"Segment 3",3,27,"26-35","Male","Nevada"
171,"Segment 2",2,52,"51-70","Male","Wyoming"
172,"Segment 1",1,29,"26-35","Male","Virginia"
173,"Segment 4",4,54,"51-70","Male","Nebraska"
174,"Segment 3",3,25,"18-25","Male","Hawaii"
175,"Segment 2",2,41,"36-50","Male","Vermont"
176,"Segment 3",3,53,"51-70","Male","Oklahoma"
177,"Segment 3",3,53,"51-70","Male","New Hampshire"
178,"Segment 1",1,21,"18-25","Male","Kansas"
179,"Segment 2",2,61,"51-70","Male","Idaho"
180,"Segment 2",2,64,"51-70","Male","Illinois"
181,"Segment 4",4,51,"51-70","Male","South Dakota"
182,"Segment 1",1,32,"26-35","Male","Massachusetts"
183,"Segment 3",3,38,"36-50","Male","Alabama"
184,"Segment 2",2,58,"51-70","Male","Ohio"
185,"Segment 2",2,32,"26-35","Male","Hawaii"
186,"Segment 1",1,46,"36-50","Male","Wisconsin"
187,"Segment 3",3,39,"36-50","Male","Minnesota"
188,"Segment 3",3,19,"18-25","Male","Georgia"
189,"Segment 2",2,50,"36-50","Male","Arkansas"
190,"Segment 1",1,36,"36-50","Male","West Virginia"
191,"Segment 2",2,65,"51-70","Male","Indiana"
192,"Segment 4",4,64,"51-70","Male","Utah"
193,"Segment 2",2,46,"36-50","Male","Nebraska"
194,"Segment 3",3,36,"36-50","Male","North Dakota"
195,"Segment 4",4,51,"51-70","Male","Missouri"
196,"Segment 2",2,51,"51-70","Male","New York"
197,"Segment 4",4,38,"36-50","Male","Washington"
198,"Segment 4",4,59,"51-70","Male","South Carolina"
199,"Segment 2",2,57,"51-70","Male","Utah"
200,"Segment 4",4,54,"51-70","Male","Idaho"
201,"Segment 3",3,25,"18-25","Male","Pennsylvania"
202,"Segment 2",2,69,"51-70","Male","Missouri"
203,"Segment 2",2,57,"51-70","Male","Nebraska"
204,"Segment 2",2,70,"51-70","Male","Indiana"
205,"Segment 1",1,24,"18-25","Male","Arizona"
206,"Segment 2",2,67,"51-70","Male","Hawaii"
207,"Segment 1",1,24,"18-25","Male","Wisconsin"
208,"Segment 4",4,62,"51-70","Male","Rhode Island"
209,"Segment 2",2,57,"51-70","Male","Wisconsin"
210,"Segment 4",4,55,"51-70","Male","Minnesota"
211,"Segment 2",2,45,"36-50","Male","Vermont"
212,"Segment 4",4,69,"51-70","Male","South Dakota"
213,"Segment 4",4,67,"51-70","Male","Virginia"
214,"Segment 1",1,30,"26-35","Male","Nevada"
215,"Segment 1",1,24,"18-25","Male","Hawaii"
216,"Segment 2",2,62,"51-70","Male","New Jersey"
217,"Segment 2",2,43,"36-50","Male","Massachusetts"
218,"Segment 3",3,35,"26-35","Male","Oklahoma"
219,"Segment 3",3,28,"26-35","Male","California"
220,"Segment 3",3,32,"26-35","Male","Nevada"
221,"Segment 1",1,39,"36-50","Male","Arizona"
222,"Segment 1",1,28,"26-35","Male","North Carolina"
223,"Segment 4",4,47,"36-50","Male","New York"
224,"Segment 1",1,20,"18-25","Male","Wyoming"
225,"Segment 4",4,63,"51-70","Male","South Dakota"
226,"Segment 3",3,25,"18-25","Male","Arkansas"
227,"Segment 3",3,29,"26-35","Male","Texas"
228,"Segment 4",4,50,"36-50","Male","Rhode Island"
229,"Segment 3",3,18,"18-25","Male","New Hampshire"
230,"Segment 2",2,70,"51-70","Male","Ohio"
231,"Segment 4",4,66,"51-70","Male","Utah"
232,"Segment 3",3,28,"26-35","Male","Tennessee"
233,"Segment 2",2,54,"51-70","Male","Hawaii"
234,"Segment 1",1,19,"18-25","Male","Arizona"
235,"Segment 1",1,20,"18-25","Male","South Dakota"
236,"Segment 4",4,43,"36-50","Male","New Jersey"
237,"Segment 3",3,38,"36-50","Male","North Dakota"
238,"Segment 4",4,50,"36-50","Male","Iowa"
239,"Segment 2",2,64,"51-70","Male","Ohio"
240,"Segment 2",2,49,"36-50","Male","Vermont"
241,"Segment 2",2,47,"36-50","Male","Montana"
242,"Segment 4",4,36,"36-50","Male","Delaware"
243,"Segment 4",4,55,"51-70","Male","New York"
244,"Segment 3",3,25,"18-25","Male","Kentucky"
245,"Segment 1",1,53,"51-70","Male","Oregon"
246,"Segment 2",2,49,"36-50","Male","Rhode Island"
247,"Segment 3",3,35,"26-35","Male","Nevada"
248,"Segment 1",1,29,"26-35","Male","Montana"
249,"Segment 4",4,47,"36-50","Male","Pennsylvania"
250,"Segment 2",2,53,"51-70","Male","Alaska"
251,"Segment 1",1,33,"26-35","Male","Mississippi"
252,"Segment 3",3,21,"18-25","Male","Wyoming"
253,"Segment 1",1,32,"26-35","Male","Delaware"
254,"Segment 4",4,52,"51-70","Male","Oklahoma"
255,"Segment 2",2,67,"51-70","Male","Indiana"
256,"Segment 2",2,43,"36-50","Male","Maryland"
257,"Segment 2",2,58,"51-70","Male","South Dakota"
258,"Segment 1",1,20,"18-25","Male","West Virginia"
259,"Segment 2",2,61,"51-70","Male","Alabama"
260,"Segment 3",3,32,"26-35","Male","Louisiana"
261,"Segment 3",3,38,"36-50","Male","Montana"
262,"Segment 1",1,21,"18-25","Male","California"
263,"Segment 1",1,37,"36-50","Male","Hawaii"
264,"Segment 1",1,27,"26-35","Male","Iowa"
265,"Segment 1",1,36,"36-50","Male","Colorado"
266,"Segment 3",3,32,"26-35","Male","Michigan"
267,"Segment 4",4,51,"51-70","Male","Louisiana"
268,"Segment 2",2,64,"51-70","Male","Maryland"
269,"Segment 2",2,68,"51-70","Male","Georgia"
270,"Segment 2",2,68,"51-70","Male","Georgia"
271,"Segment 1",1,33,"26-35","Male","North Dakota"
272,"Segment 4",4,65,"51-70","Male","Maryland"
273,"Segment 2",2,48,"36-50","Male","Oregon"
274,"Segment 2",2,69,"51-70","Male","North Dakota"
275,"Segment 2",2,59,"51-70","Male","Maryland"
276,"Segment 4",4,48,"36-50","Male","Virginia"
277,"Segment 1",1,25,"18-25","Male","South Dakota"
278,"Segment 3",3,29,"26-35","Male","Georgia"
279,"Segment 4",4,57,"51-70","Male","Hawaii"
280,"Segment 1",1,23,"18-25","Male","Arkansas"
281,"Segment 1",1,45,"36-50","Male","Montana"
282,"Segment 3",3,38,"36-50","Male","Oklahoma"
283,"Segment 3",3,21,"18-25","Male","Minnesota"
284,"Segment 3",3,32,"26-35","Male","Montana"
285,"Segment 2",2,63,"51-70","Male","Ohio"
286,"Segment 1",1,29,"26-35","Male","Kentucky"
287,"Segment 3",3,27,"26-35","Male","Nebraska"
288,"Segment 2",2,56,"51-70","Male","Delaware"
289,"Segment 1",1,30,"26-35","Male","North Carolina"
290,"Segment 4",4,49,"36-50","Male","New York"
291,"Segment 2",2,58,"51-70","Male","Colorado"
292,"Segment 2",2,57,"51-70","Male","Delaware"
293,"Segment 4",4,60,"51-70","Male","Utah"
294,"Segment 2",2,69,"51-70","Male","Connecticut"
295,"Segment 2",2,70,"51-70","Male","New Jersey"
296,"Segment 2",2,53,"51-70","Male","West Virginia"
297,"Segment 1",1,25,"18-25","Male","Indiana"
298,"Segment 2",2,48,"36-50","Male","Delaware"
299,"Segment 2",2,69,"51-70","Male","Maryland"
300,"Segment 3",3,25,"18-25","Male","Pennsylvania"
301,"Segment 1",1,29,"26-35","Male","Iowa"
302,"Segment 4",4,46,"36-50","Male","Pennsylvania"
303,"Segment 2",2,37,"36-50","Male","Delaware"
304,"Segment 3",3,20,"18-25","Male","Oregon"
305,"Segment 4",4,40,"36-50","Male","Oregon"
306,"Segment 2",2,60,"51-70","Male","Utah"
307,"Segment 3",3,26,"26-35","Male","North Dakota"
308,"Segment 3",3,29,"26-35","Male","Florida"
309,"Segment 2",2,66,"51-70","Male","Maryland"
310,"Segment 2",2,66,"51-70","Male","Minnesota"
311,"Segment 4",4,56,"51-70","Male","Montana"
312,"Segment 2",2,69,"51-70","Male","Rhode Island"
313,"Segment 3",3,38,"36-50","Male","Massachusetts"
314,"Segment 4",4,42,"36-50","Male","Vermont"
315,"Segment 2",2,30,"26-35","Male","New Jersey"
316,"Segment 2",2,66,"51-70","Male","Wisconsin"
317,"Segment 2",2,36,"36-50","Male","California"
318,"Segment 4",4,58,"51-70","Male","West Virginia"
319,"Segment 3",3,45,"36-50","Male","South Dakota"
320,"Segment 3",3,47,"36-50","Male","Maine"
321,"Segment 4",4,66,"51-70","Male","Kansas"
322,"Segment 1",1,41,"36-50","Male","Vermont"
323,"Segment 3",3,41,"36-50","Male","Tennessee"
324,"Segment 4",4,66,"51-70","Male","Tennessee"
325,"Segment 1",1,37,"36-50","Male","Wyoming"
326,"Segment 4",4,70,"51-70","Male","Vermont"
327,"Segment 2",2,62,"51-70","Male","New Jersey"
328,"Segment 2",2,61,"51-70","Male","Iowa"
329,"Segment 2",2,48,"36-50","Male","Florida"
330,"Segment 2",2,70,"51-70","Male","Nevada"
331,"Segment 2",2,46,"36-50","Male","North Dakota"
332,"Segment 3",3,31,"26-35","Male","Florida"
333,"Segment 3",3,19,"18-25","Male","New York"
334,"Segment 1",1,39,"36-50","Male","Alaska"
335,"Segment 3",3,41,"36-50","Male","Kansas"
336,"Segment 3",3,20,"18-25","Male","Oregon"
337,"Segment 1",1,36,"36-50","Male","Rhode Island"
338,"Segment 1",1,32,"26-35","Male","New Mexico"
339,"Segment 4",4,69,"51-70","Male","Massachusetts"
340,"Segment 2",2,40,"36-50","Male","Pennsylvania"
341,"Segment 2",2,40,"36-50","Male","New Jersey"
342,"Segment 1",1,20,"18-25","Male","Utah"
343,"Segment 2",2,64,"51-70","Male","Kentucky"
344,"Segment 1",1,27,"26-35","Male","Nebraska"
345,"Segment 1",1,24,"18-25","Male","Virginia"
346,"Segment 1",1,48,"36-50","Male","Wyoming"
347,"Segment 1",1,49,"36-50","Male","New Mexico"
348,"Segment 1",1,36,"36-50","Male","Oregon"
349,"Segment 2",2,56,"51-70","Male","South Carolina"
350,"Segment 3",3,37,"36-50","Male","Arizona"
351,"Segment 3",3,42,"36-50","Male","Kentucky"
352,"Segment 1",1,28,"26-35","Male","New York"
353,"Segment 1",1,27,"26-35","Male","Texas"
354,"Segment 4",4,63,"51-70","Male","Missouri"
355,"Segment 4",4,58,"51-70","Male","Pennsylvania"
356,"Segment 1",1,37,"36-50","Male","Oregon"
357,"Segment 4",4,56,"51-70","Male","Nevada"
358,"Segment 1",1,18,"18-25","Male","Arkansas"
359,"Segment 2",2,48,"36-50","Male","Minnesota"
360,"Segment 3",3,31,"26-35","Male","Georgia"
361,"Segment 2",2,51,"51-70","Male","Rhode Island"
362,"Segment 4",4,65,"51-70","Male","Nevada"
363,"Segment 2",2,53,"51-70","Male","Texas"
364,"Segment 4",4,55,"51-70","Male","Florida"
365,"Segment 4",4,62,"51-70","Male","North Dakota"
366,"Segment 4",4,55,"51-70","Male","West Virginia"
367,"Segment 2",2,64,"51-70","Male","Nebraska"
368,"Segment 2",2,52,"51-70","Male","Tennessee"
369,"Segment 1",1,24,"18-25","Male","Oklahoma"
370,"Segment 2",2,38,"36-50","Male","Wisconsin"
371,"Segment 2",2,59,"51-70","Male","Oregon"
372,"Segment 3",3,27,"26-35","Male","North Carolina"
373,"Segment 3",3,24,"18-25","Male","Pennsylvania"
374,"Segment 1",1,23,"18-25","Male","North Dakota"
375,"Segment 4",4,69,"51-70","Male","Ohio"
376,"Segment 2",2,59,"51-70","Male","Oklahoma"
377,"Segment 1",1,51,"51-70","Male","South Carolina"
378,"Segment 2",2,63,"51-70","Male","Maine"
379,"Segment 1",1,54,"51-70","Male","Nevada"
380,"Segment 1",1,32,"26-35","Male","Montana"
381,"Segment 3",3,39,"36-50","Male","New Hampshire"
382,"Segment 2",2,66,"51-70","Male","Maine"
383,"Segment 3",3,28,"26-35","Male","California"
384,"Segment 3",3,50,"36-50","Male","West Virginia"
385,"Segment 2",2,70,"51-70","Male","California"
386,"Segment 4",4,67,"51-70","Male","West Virginia"
387,"Segment 2",2,64,"51-70","Male","Louisiana"
388,"Segment 4",4,45,"36-50","Male","Georgia"
389,"Segment 3",3,22,"18-25","Male","Washington"
390,"Segment 1",1,27,"26-35","Male","Virginia"
391,"Segment 3",3,25,"18-25","Male","Indiana"
392,"Segment 1",1,37,"36-50","Male","Minnesota"
393,"Segment 3",3,26,"26-35","Male","Idaho"
394,"Segment 1",1,33,"26-35","Male","Vermont"
395,"Segment 1",1,43,"36-50","Male","North Dakota"
396,"Segment 1",1,37,"36-50","Male","Rhode Island"
397,"Segment 4",4,46,"36-50","Male","South Carolina"
398,"Segment 3",3,22,"18-25","Male","Mississippi"
399,"Segment 1",1,20,"18-25","Male","Montana"
400,"Segment 2",2,60,"51-70","Male","Idaho"
401,"Segment 1",1,39,"36-50","Male","Utah"
402,"Segment 4",4,43,"36-50","Male","Oklahoma"
403,"Segment 3",3,31,"26-35","Male","California"
404,"Segment 1",1,19,"18-25","Male","Nevada"
405,"Segment 1",1,35,"26-35","Male","Delaware"
406,"Segment 3",3,41,"36-50","Male","South Carolina"
407,"Segment 1",1,52,"51-70","Male","Maryland"
408,"Segment 3",3,45,"36-50","Male","North Carolina"
409,"Segment 3",3,34,"26-35","Male","Alabama"
410,"Segment 3",3,35,"26-35","Male","Minnesota"
411,"Segment 1",1,29,"26-35","Male","Virginia"
412,"Segment 2",2,59,"51-70","Male","Michigan"
413,"Segment 3",3,24,"18-25","Male","Maine"
414,"Segment 4",4,70,"51-70","Male","Nevada"
415,"Segment 3",3,29,"26-35","Male","Wyoming"
416,"Segment 2",2,67,"51-70","Male","Connecticut"
417,"Segment 1",1,36,"36-50","Male","Oregon"
418,"Segment 1",1,23,"18-25","Male","Mississippi"
419,"Segment 3",3,18,"18-25","Male","Illinois"
420,"Segment 4",4,53,"51-70","Male","Utah"
421,"Segment 1",1,32,"26-35","Male","North Carolina"
422,"Segment 2",2,38,"36-50","Male","Kentucky"
423,"Segment 2",2,47,"36-50","Male","Minnesota"
424,"Segment 2",2,46,"36-50","Male","New York"
425,"Segment 2",2,66,"51-70","Male","Illinois"
426,"Segment 3",3,40,"36-50","Male","North Dakota"
427,"Segment 1",1,43,"36-50","Male","Louisiana"
428,"Segment 4",4,58,"51-70","Male","Illinois"
429,"Segment 3",3,21,"18-25","Male","Wyoming"
430,"Segment 4",4,42,"36-50","Male","Washington"
431,"Segment 1",1,24,"18-25","Male","Texas"
432,"Segment 3",3,43,"36-50","Male","New Hampshire"
433,"Segment 4",4,47,"36-50","Male","Indiana"
434,"Segment 4",4,49,"36-50","Male","Alabama"
435,"Segment 2",2,50,"36-50","Male","Oklahoma"
436,"Segment 2",2,51,"51-70","Male","Montana"
437,"Segment 1",1,40,"36-50","Male","Tennessee"
438,"Segment 2",2,45,"36-50","Male","New Mexico"
439,"Segment 2",2,52,"51-70","Male","Iowa"
440,"Segment 2",2,62,"51-70","Male","Idaho"
441,"Segment 3",3,20,"18-25","Male","Oklahoma"
442,"Segment 4",4,43,"36-50","Male","Florida"
443,"Segment 3",3,29,"26-35","Male","Michigan"
444,"Segment 3",3,22,"18-25","Male","Hawaii"
445,"Segment 2",2,48,"36-50","Male","California"
446,"Segment 1",1,42,"36-50","Male","Iowa"
447,"Segment 1",1,19,"18-25","Male","West Virginia"
448,"Segment 4",4,60,"51-70","Male","Washington"
449,"Segment 2",2,32,"26-35","Male","Missouri"
450,"Segment 3",3,26,"26-35","Male","New York"
451,"Segment 3",3,25,"18-25","Male","Connecticut"
452,"Segment 2",2,66,"51-70","Male","Virginia"
453,"Segment 2",2,45,"36-50","Male","Missouri"
454,"Segment 2",2,54,"51-70","Male","Nebraska"
455,"Segment 3",3,37,"36-50","Male","New Jersey"
456,"Segment 4",4,54,"51-70","Male","Utah"
457,"Segment 4",4,50,"36-50","Male","North Carolina"
458,"Segment 1",1,25,"18-25","Male","Rhode Island"
459,"Segment 4",4,47,"36-50","Male","Arkansas"
460,"Segment 2",2,63,"51-70","Male","Maryland"
461,"Segment 4",4,64,"51-70","Male","South Carolina"
462,"Segment 1",1,18,"18-25","Male","Ohio"
463,"Segment 4",4,59,"51-70","Male","Illinois"
464,"Segment 3",3,37,"36-50","Male","Georgia"
465,"Segment 1",1,23,"18-25","Male","Alabama"
466,"Segment 4",4,54,"51-70","Male","Oklahoma"
467,"Segment 1",1,38,"36-50","Male","Vermont"
468,"Segment 1",1,19,"18-25","Male","Nebraska"
469,"Segment 1",1,34,"26-35","Male","Georgia"
470,"Segment 1",1,21,"18-25","Male","Alabama"
471,"Segment 1",1,50,"36-50","Male","Minnesota"
472,"Segment 4",4,55,"51-70","Male","Missouri"
473,"Segment 1",1,20,"18-25","Male","Georgia"
474,"Segment 1",1,34,"26-35","Male","West Virginia"
475,"Segment 2",2,62,"51-70","Male","Arkansas"
476,"Segment 3",3,21,"18-25","Male","Ohio"
477,"Segment 3",3,21,"18-25","Male","Connecticut"
478,"Segment 2",2,42,"36-50","Male","North Dakota"
479,"Segment 2",2,35,"26-35","Male","Kansas"
480,"Segment 3",3,39,"36-50","Male","Iowa"
481,"Segment 4",4,68,"51-70","Male","Vermont"
482,"Segment 3",3,46,"36-50","Male","Wisconsin"
483,"Segment 3",3,41,"36-50","Male","Connecticut"
484,"Segment 1",1,23,"18-25","Male","Oklahoma"
485,"Segment 4",4,68,"51-70","Male","Missouri"
486,"Segment 2",2,48,"36-50","Male","Tennessee"
487,"Segment 3",3,38,"36-50","Male","New Mexico"
488,"Segment 1",1,41,"36-50","Male","Iowa"
489,"Segment 2",2,58,"51-70","Male","Maine"
490,"Segment 4",4,49,"36-50","Male","South Dakota"
491,"Segment 2",2,57,"51-70","Male","Colorado"
492,"Segment 4",4,49,"36-50","Male","Vermont"
493,"Segment 2",2,50,"36-50","Male","Michigan"
494,"Segment 1",1,28,"26-35","Male","Nevada"
495,"Segment 1",1,38,"36-50","Male","Indiana"
496,"Segment 3",3,33,"26-35","Male","Michigan"
497,"Segment 3",3,30,"26-35","Male","California"
498,"Segment 1",1,43,"36-50","Male","Oklahoma"
499,"Segment 4",4,43,"36-50","Male","Iowa"
500,"Segment 1",1,36,"36-50","Male","Rhode Island"
501,"Segment 1",1,36,"36-50","Male","Washington"
502,"Segment 2",2,64,"51-70","Male","Florida"
503,"Segment 2",2,59,"51-70","Male","South Carolina"
504,"Segment 2",2,55,"51-70","Male","West Virginia"
505,"Segment 2",2,42,"36-50","Male","Missouri"
506,"Segment 4",4,61,"51-70","Male","Maine"
507,"Segment 3",3,28,"26-35","Male","Georgia"
508,"Segment 2",2,65,"51-70","Male","Maine"
509,"Segment 1",1,27,"26-35","Male","Illinois"
