"Customer ID","Segment","Cluster","Digital_Payment_Pref","Payment Method","Fast_Shipping_Pref","Shipping Type","Prefers_Small","Prefers_Large","Size","Color"
64,"Segment 3",3,0,"Credit Card",0,"2-Day Shipping",0,1,"L","Lavender"
65,"Segment 4",4,0,"Debit Card",0,"Standard",1,0,"S","Green"
66,"Segment 2",2,1,"Venmo",0,"2-Day Shipping",0,0,"M","Purple"
67,"Segment 1",1,1,"Venmo",0,"2-Day Shipping",1,0,"S","Magenta"
68,"Segment 2",2,0,"Debit Card",0,"Store Pickup",0,1,"L","Gray"
69,"Segment 2",2,0,"Cash",1,"Next Day Air",0,1,"L","Silver"
70,"Segment 1",1,0,"Cash",1,"Express",1,0,"S","Cyan"
71,"Segment 1",1,0,"Debit Card",1,"Express",0,0,"M","Magenta"
72,"Segment 3",3,0,"Bank Transfer",1,"Express",0,1,"L","Gold"
73,"Segment 3",3,0,"Bank Transfer",0,"Store Pickup",0,0,"M","Olive"
74,"Segment 3",3,0,"Bank Transfer",0,"Free Shipping",0,0,"M","Teal"
75,"Segment 1",1,0,"Cash",1,"Express",0,1,"L","Violet"
76,"Segment 4",4,0,"Credit Card",0,"Free Shipping",0,0,"M","Blue"
77,"Segment 2",2,1,"Venmo",0,"Free Shipping",1,0,"S","Teal"
78,"Segment 3",3,0,"Debit Card",1,"Next Day Air",0,1,"L","Gold"
79,"Segment 4",4,1,"Venmo",0,"Free Shipping",0,0,"M","Maroon"
80,"Segment 3",3,0,"Bank Transfer",0,"2-Day Shipping",0,0,"M","Olive"
81,"Segment 3",3,0,"Credit Card",0,"Store Pickup",0,1,"XL","Blue"
82,"Segment 4",4,0,"Credit Card",1,"Express",0,1,"L","Maroon"
83,"Segment 1",1,0,"Credit Card",0,"2-Day Shipping",1,0,"S","Olive"
84,"Segment 1",1,0,"Bank Transfer",0,"Standard",0,0,"M","Turquoise"
85,"Segment 2",2,0,"Bank Transfer",0,"Standard",1,0,"S","Peach"
86,"Segment 4",4,0,"Debit Card",1,"Next Day Air",0,0,"M","Charcoal"
87,"Segment 1",1,0,"Cash",0,"2-Day Shipping",0,1,"L","Pink"
88,"Segment 2",2,0,"Debit Card",0,"2-Day Shipping",0,0,"M","Green"
89,"Segment 3",3,0,"Credit Card",0,"Free Shipping",0,0,"M","Orange"
90,"Segment 4",4,0,"Cash",1,"Next Day Air",0,1,"XL","Pink"
91,"Segment 3",3,0,"Credit Card",1,"Express",0,1,"L","Violet"
92,"Segment 4",4,0,"Credit Card",0,"Standard",1,0,"S","Green"
93,"Segment 4",4,1,"Venmo",0,"2-Day Shipping",0,0,"M","Olive"
94,"Segment 1",1,0,"Credit Card",0,"Standard",0,0,"M","Purple"
95,"Segment 4",4,0,"Credit Card",0,"Free Shipping",1,0,"S","Silver"
96,"Segment 4",4,1,"PayPal",0,"Free Shipping",0,1,"L","Pink"
97,"Segment 3",3,1,"Venmo",1,"Express",1,0,"S","Gold"
98,"Segment 1",1,0,"Cash",0,"Store Pickup",0,0,"M","Teal"
99,"Segment 3",3,0,"Bank Transfer",1,"Next Day Air",0,1,"XL","Teal"
100,"Segment 1",1,0,"Debit Card",1,"Express",0,1,"XL","Indigo"
101,"Segment 4",4,0,"Cash",1,"Express",0,0,"M","Maroon"
102,"Segment 1",1,0,"Credit Card",1,"Express",0,1,"XL","White"
103,"Segment 4",4,0,"Credit Card",1,"Next Day Air",0,1,"L","Violet"
104,"Segment 4",4,1,"Venmo",1,"Next Day Air",0,1,"L","Red"
105,"Segment 2",2,1,"PayPal",0,"2-Day Shipping",0,1,"L","Pink"
106,"Segment 4",4,0,"Bank Transfer",1,"Next Day Air",0,0,"M","Charcoal"
107,"Segment 2",2,0,"Credit Card",0,"Standard",0,1,"L","White"
108,"Segment 3",3,1,"PayPal",1,"Next Day Air",0,1,"L","Olive"
109,"Segment 4",4,0,"Bank Transfer",1,"Next Day Air",0,1,"L","Purple"
110,"Segment 4",4,0,"Bank Transfer",1,"Next Day Air",0,0,"M","Violet"
111,"Segment 2",2,1,"Venmo",0,"Standard",0,0,"M","Black"
112,"Segment 1",1,0,"Credit Card",0,"Free Shipping",0,1,"L","Purple"
113,"Segment 1",1,1,"PayPal",0,"Free Shipping",0,0,"M","Red"
114,"Segment 3",3,1,"PayPal",1,"Next Day Air",0,1,"L","Maroon"
115,"Segment 4",4,0,"Cash",0,"Store Pickup",1,0,"S","Blue"
116,"Segment 4",4,0,"Debit Card",0,"Standard",0,0,"M","Gray"
117,"Segment 4",4,1,"Venmo",0,"Free Shipping",1,0,"S","Blue"
118,"Segment 2",2,0,"Cash",1,"Express",0,1,"L","Yellow"
119,"Segment 1",1,0,"Cash",0,"2-Day Shipping",0,1,"L","Orange"
120,"Segment 1",1,0,"Cash",1,"Express",0,0,"M","Orange"
121,"Segment 4",4,0,"Bank Transfer",1,"Express",0,1,"L","Red"
122,"Segment 1",1,0,"Cash",0,"Standard",0,0,"M","Olive"
123,"Segment 1",1,0,"Cash",0,"2-Day Shipping",0,1,"L","Brown"
124,"Segment 4",4,0,"Cash",0,"Free Shipping",0,1,"L","Brown"
125,"Segment 4",4,1,"PayPal",1,"Next Day Air",0,0,"M","Gray"
126,"Segment 2",2,1,"Venmo",1,"Next Day Air",0,0,"M","Indigo"
127,"Segment 2",2,0,"Cash",0,"Store Pickup",0,1,"L","Pink"
128,"Segment 1",1,0,"Credit Card",1,"Next Day Air",0,0,"M","Gray"
129,"Segment 1",1,0,"Credit Card",0,"Standard",0,0,"M","Gold"
130,"Segment 1",1,1,"PayPal",0,"2-Day Shipping",0,1,"XL","Olive"
131,"Segment 2",2,1,"PayPal",1,"Next Day Air",0,1,"L","Violet"
132,"Segment 1",1,0,"Credit Card",0,"Standard",0,1,"L","Indigo"
133,"Segment 1",1,1,"PayPal",0,"2-Day Shipping",0,0,"M","Orange"
134,"Segment 3",3,1,"Venmo",1,"Next Day Air",0,0,"M","Violet"
135,"Segment 4",4,0,"Cash",0,"Store Pickup",0,1,"L","Gray"
136,"Segment 4",4,1,"PayPal",1,"Express",0,0,"M","Purple"
137,"Segment 3",3,0,"Debit Card",0,"Free Shipping",0,0,"M","White"
138,"Segment 2",2,1,"PayPal",0,"Free Shipping",0,0,"M","Turquoise"
139,"Segment 2",2,0,"Bank Transfer",0,"Store Pickup",0,0,"M","Maroon"
140,"Segment 4",4,1,"Venmo",0,"Store Pickup",0,0,"M","White"
141,"Segment 2",2,0,"Credit Card",0,"2-Day Shipping",0,1,"L","Yellow"
142,"Segment 2",2,1,"PayPal",0,"Free Shipping",0,0,"M","Turquoise"
143,"Segment 3",3,0,"Credit Card",0,"Free Shipping",0,1,"L","Violet"
144,"Segment 3",3,1,"PayPal",0,"Store Pickup",0,0,"M","Beige"
145,"Segment 3",3,0,"Cash",1,"Express",0,0,"M","Silver"
146,"Segment 1",1,0,"Debit Card",0,"Standard",0,0,"M","Teal"
147,"Segment 2",2,1,"Venmo",0,"Standard",1,0,"S","Black"
148,"Segment 2",2,0,"Bank Transfer",0,"2-Day Shipping",0,0,"M","Purple"
149,"Segment 3",3,0,"Debit Card",0,"Store Pickup",0,0,"M","Gray"
150,"Segment 3",3,1,"PayPal",0,"Free Shipping",0,0,"M","White"
151,"Segment 1",1,0,"Debit Card",0,"Standard",0,1,"L","Cyan"
152,"Segment 1",1,1,"Venmo",1,"Next Day Air",0,1,"L","Turquoise"
153,"Segment 1",1,1,"Venmo",1,"Express",1,0,"S","Brown"
154,"Segment 2",2,0,"Debit Card",0,"Standard",0,0,"M","Maroon"
155,"Segment 4",4,1,"Venmo",1,"Next Day Air",0,0,"M","Charcoal"
156,"Segment 4",4,0,"Bank Transfer",0,"Free Shipping",1,0,"S","Olive"
157,"Segment 1",1,0,"Debit Card",0,"Standard",0,0,"M","Lavender"
158,"Segment 3",3,0,"Bank Transfer",1,"Next Day Air",1,0,"S","Yellow"
159,"Segment 1",1,0,"Bank Transfer",0,"Standard",0,1,"XL","Teal"
160,"Segment 2",2,0,"Bank Transfer",0,"Store Pickup",0,0,"M","Charcoal"
161,"Segment 1",1,1,"Venmo",0,"Free Shipping",0,0,"M","Orange"
162,"Segment 2",2,1,"Venmo",1,"Express",0,0,"M","Olive"
163,"Segment 4",4,1,"PayPal",0,"Store Pickup",0,0,"M","Turquoise"
164,"Segment 2",2,0,"Debit Card",0,"Standard",0,0,"M","Purple"
165,"Segment 2",2,0,"Credit Card",0,"Free Shipping",1,0,"S","Purple"
166,"Segment 3",3,0,"Cash",0,"Store Pickup",1,0,"S","Yellow"
167,"Segment 2",2,0,"Cash",0,"Store Pickup",0,1,"XL","Indigo"
168,"Segment 1",1,0,"Credit Card",1,"Express",0,0,"M","Green"
169,"Segment 3",3,0,"Cash",1,"Express",0,0,"M","Magenta"
170,"Segment 3",3,1,"PayPal",0,"Standard",1,0,"S","Gold"
171,"Segment 2",2,1,"Venmo",0,"Store Pickup",0,0,"M","Maroon"
172,"Segment 1",1,0,"Credit Card",0,"Store Pickup",0,0,"M","Blue"
173,"Segment 4",4,0,"Credit Card",1,"Next Day Air",0,0,"M","Violet"
174,"Segment 3",3,0,"Cash",0,"Standard",0,0,"M","Turquoise"
175,"Segment 2",2,1,"Venmo",1,"Express",0,1,"L","Brown"
176,"Segment 3",3,0,"Bank Transfer",1,"Next Day Air",0,1,"L","Violet"
177,"Segment 3",3,0,"Credit Card",1,"Next Day Air",0,1,"L","Black"
178,"Segment 1",1,0,"Bank Transfer",1,"Next Day Air",0,1,"L","Magenta"
179,"Segment 2",2,1,"PayPal",0,"2-Day Shipping",0,1,"L","Lavender"
180,"Segment 2",2,0,"Bank Transfer",0,"Store Pickup",0,0,"M","Violet"
181,"Segment 4",4,0,"Debit Card",0,"Store Pickup",0,1,"L","Green"
182,"Segment 1",1,0,"Bank Transfer",1,"Next Day Air",0,0,"M","Beige"
183,"Segment 3",3,0,"Debit Card",0,"Store Pickup",0,1,"XL","Purple"
184,"Segment 2",2,0,"Credit Card",0,"2-Day Shipping",0,1,"XL","Beige"
185,"Segment 2",2,0,"Cash",1,"Express",0,1,"L","Cyan"
186,"Segment 1",1,0,"Bank Transfer",0,"Store Pickup",0,1,"XL","Silver"
187,"Segment 3",3,0,"Debit Card",0,"Standard",1,0,"S","Lavender"
188,"Segment 3",3,0,"Bank Transfer",0,"Store Pickup",1,0,"S","Purple"
189,"Segment 2",2,0,"Bank Transfer",1,"Express",0,0,"M","Pink"
190,"Segment 1",1,0,"Credit Card",1,"Next Day Air",0,0,"M","Maroon"
191,"Segment 2",2,1,"Venmo",0,"Free Shipping",0,1,"XL","Beige"
192,"Segment 4",4,0,"Cash",0,"Free Shipping",0,0,"M","Gray"
193,"Segment 2",2,1,"PayPal",1,"Express",0,1,"L","Turquoise"
194,"Segment 3",3,1,"Venmo",0,"Standard",1,0,"S","Silver"
195,"Segment 4",4,0,"Debit Card",1,"Express",0,0,"M","Olive"
196,"Segment 2",2,0,"Credit Card",0,"Free Shipping",0,0,"M","Magenta"
197,"Segment 4",4,0,"Credit Card",1,"Next Day Air",0,0,"M","Lavender"
198,"Segment 4",4,0,"Credit Card",0,"2-Day Shipping",0,0,"M","Black"
199,"Segment 2",2,0,"Credit Card",0,"Standard",0,0,"M","Turquoise"
200,"Segment 4",4,0,"Cash",1,"Express",0,1,"XL","Green"
201,"Segment 3",3,1,"Venmo",1,"Next Day Air",1,0,"S","Teal"
202,"Segment 2",2,0,"Bank Transfer",0,"Free Shipping",1,0,"S","Beige"
203,"Segment 2",2,1,"Venmo",1,"Express",0,1,"L","Magenta"
204,"Segment 2",2,0,"Bank Transfer",1,"Next Day Air",1,0,"S","Yellow"
205,"Segment 1",1,0,"Cash",0,"Store Pickup",0,0,"M","Yellow"
206,"Segment 2",2,1,"PayPal",0,"Standard",0,0,"M","Silver"
207,"Segment 1",1,1,"Venmo",0,"Free Shipping",0,1,"L","Silver"
208,"Segment 4",4,0,"Bank Transfer",1,"Express",0,0,"M","Silver"
209,"Segment 2",2,0,"Credit Card",0,"Store Pickup",0,0,"M","Gold"
210,"Segment 4",4,0,"Cash",0,"Store Pickup",1,0,"S","Olive"
211,"Segment 2",2,1,"PayPal",0,"2-Day Shipping",0,1,"L","Teal"
212,"Segment 4",4,0,"Debit Card",0,"2-Day Shipping",0,1,"L","Maroon"
213,"Segment 4",4,0,"Debit Card",1,"Express",0,1,"L","Blue"
214,"Segment 1",1,0,"Debit Card",0,"Store Pickup",0,1,"L","Peach"
215,"Segment 1",1,0,"Cash",1,"Next Day Air",0,1,"L","Blue"
216,"Segment 2",2,1,"PayPal",0,"2-Day Shipping",1,0,"S","Orange"
217,"Segment 2",2,1,"Venmo",0,"Free Shipping",0,1,"L","Yellow"
218,"Segment 3",3,0,"Bank Transfer",1,"Next Day Air",0,0,"M","Purple"
219,"Segment 3",3,0,"Credit Card",0,"Store Pickup",1,0,"S","Magenta"
220,"Segment 3",3,0,"Cash",0,"Free Shipping",0,0,"M","Cyan"
221,"Segment 1",1,0,"Debit Card",1,"Express",1,0,"S","Indigo"
222,"Segment 1",1,0,"Bank Transfer",0,"Store Pickup",0,1,"XL","Magenta"
223,"Segment 4",4,1,"PayPal",0,"2-Day Shipping",0,1,"XL","Gray"
224,"Segment 1",1,1,"PayPal",0,"Free Shipping",0,0,"M","Turquoise"
225,"Segment 4",4,0,"Cash",0,"Free Shipping",1,0,"S","Beige"
226,"Segment 3",3,0,"Bank Transfer",1,"Next Day Air",0,0,"M","Olive"
227,"Segment 3",3,1,"PayPal",0,"Free Shipping",0,1,"L","Violet"
228,"Segment 4",4,1,"Venmo",0,"Standard",0,0,"M","Turquoise"
229,"Segment 3",3,0,"Credit Card",0,"Store Pickup",0,0,"M","White"
230,"Segment 2",2,1,"PayPal",1,"Next Day Air",1,0,"S","Silver"
231,"Segment 4",4,0,"Credit Card",0,"Standard",0,1,"L","Olive"
232,"Segment 3",3,0,"Debit Card",0,"2-Day Shipping",0,0,"M","Blue"
233,"Segment 2",2,0,"Bank Transfer",1,"Express",0,1,"L","Purple"
234,"Segment 1",1,0,"Bank Transfer",1,"Next Day Air",0,1,"XL","Yellow"
235,"Segment 1",1,0,"Credit Card",1,"Next Day Air",1,0,"S","Silver"
236,"Segment 4",4,0,"Debit Card",0,"Free Shipping",0,0,"M","Cyan"
237,"Segment 3",3,1,"PayPal",1,"Next Day Air",0,1,"L","Green"
238,"Segment 4",4,0,"Debit Card",0,"Store Pickup",0,0,"M","Beige"
239,"Segment 2",2,0,"Cash",0,"Free Shipping",0,0,"M","Peach"
240,"Segment 2",2,0,"Credit Card",1,"Express",0,1,"L","Yellow"
241,"Segment 2",2,0,"Bank Transfer",0,"Free Shipping",0,1,"XL","Turquoise"
242,"Segment 4",4,1,"Venmo",0,"Free Shipping",0,0,"M","Peach"
243,"Segment 4",4,0,"Debit Card",0,"Store Pickup",0,1,"L","Gray"
244,"Segment 3",3,0,"Debit Card",0,"2-Day Shipping",0,0,"M","Olive"
245,"Segment 1",1,1,"PayPal",0,"2-Day Shipping",1,0,"S","Indigo"
246,"Segment 2",2,1,"Venmo",1,"Next Day Air",0,1,"L","Charcoal"
247,"Segment 3",3,1,"Venmo",1,"Express",0,1,"XL","Beige"
248,"Segment 1",1,0,"Debit Card",0,"Standard",0,1,"XL","Brown"
249,"Segment 4",4,1,"PayPal",1,"Express",0,0,"M","Blue"
250,"Segment 2",2,0,"Credit Card",0,"Standard",1,0,"S","Teal"
251,"Segment 1",1,0,"Bank Transfer",1,"Express",0,1,"L","Black"
252,"Segment 3",3,1,"PayPal",0,"Standard",0,1,"XL","Gold"
253,"Segment 1",1,1,"Venmo",0,"Free Shipping",0,0,"M","Violet"
254,"Segment 4",4,0,"Bank Transfer",0,"2-Day Shipping",0,1,"L","Cyan"
255,"Segment 2",2,1,"PayPal",0,"Store Pickup",0,0,"M","White"
256,"Segment 2",2,0,"Debit Card",0,"Free Shipping",0,0,"M","Charcoal"
257,"Segment 2",2,0,"Credit Card",1,"Express",0,1,"XL","Violet"
258,"Segment 1",1,0,"Credit Card",1,"Express",0,0,"M","Red"
259,"Segment 2",2,0,"Cash",1,"Express",1,0,"S","Lavender"
260,"Segment 3",3,0,"Debit Card",0,"Standard",0,0,"M","Gold"
261,"Segment 3",3,0,"Credit Card",0,"2-Day Shipping",1,0,"S","Red"
262,"Segment 1",1,0,"Credit Card",0,"Standard",0,1,"L","Magenta"
263,"Segment 1",1,0,"Debit Card",1,"Next Day Air",0,0,"M","Teal"
264,"Segment 1",1,1,"Venmo",0,"Store Pickup",0,0,"M","Purple"
265,"Segment 1",1,0,"Cash",0,"Store Pickup",1,0,"S","Charcoal"
266,"Segment 3",3,0,"Bank Transfer",0,"2-Day Shipping",0,0,"M","Gray"
267,"Segment 4",4,0,"Credit Card",1,"Express",0,1,"L","White"
268,"Segment 2",2,1,"Venmo",0,"2-Day Shipping",0,0,"M","Olive"
269,"Segment 2",2,0,"Cash",0,"Store Pickup",0,0,"M","Charcoal"
270,"Segment 2",2,0,"Cash",1,"Next Day Air",0,0,"M","Charcoal"
271,"Segment 1",1,0,"Bank Transfer",0,"Free Shipping",0,1,"XL","Orange"
272,"Segment 4",4,0,"Credit Card",1,"Express",0,1,"XL","Yellow"
273,"Segment 2",2,0,"Debit Card",0,"2-Day Shipping",0,0,"M","Beige"
274,"Segment 2",2,0,"Debit Card",1,"Express",1,0,"S","Silver"
275,"Segment 2",2,0,"Cash",1,"Express",0,0,"M","Indigo"
276,"Segment 4",4,0,"Credit Card",1,"Express",0,1,"XL","Lavender"
277,"Segment 1",1,0,"Bank Transfer",1,"Express",0,1,"XL","Turquoise"
278,"Segment 3",3,0,"Bank Transfer",0,"Store Pickup",0,0,"M","Green"
279,"Segment 4",4,0,"Debit Card",1,"Express",0,0,"M","Orange"
280,"Segment 1",1,0,"Bank Transfer",0,"Standard",0,1,"L","Turquoise"
281,"Segment 1",1,0,"Cash",0,"2-Day Shipping",1,0,"S","Cyan"
282,"Segment 3",3,0,"Debit Card",0,"Standard",0,1,"XL","Charcoal"
283,"Segment 3",3,0,"Cash",0,"2-Day Shipping",0,0,"M","Teal"
284,"Segment 3",3,1,"Venmo",1,"Next Day Air",1,0,"S","Maroon"
285,"Segment 2",2,1,"PayPal",0,"Standard",0,0,"M","Red"
286,"Segment 1",1,0,"Debit Card",1,"Express",0,1,"XL","Yellow"
287,"Segment 3",3,0,"Debit Card",0,"Store Pickup",0,1,"L","Gray"
288,"Segment 2",2,1,"Venmo",0,"2-Day Shipping",0,1,"L","Blue"
289,"Segment 1",1,1,"Venmo",0,"2-Day Shipping",0,0,"M","Lavender"
290,"Segment 4",4,0,"Credit Card",0,"2-Day Shipping",0,0,"M","Yellow"
291,"Segment 2",2,1,"PayPal",0,"Standard",0,0,"M","Indigo"
292,"Segment 2",2,0,"Bank Transfer",1,"Next Day Air",0,1,"XL","Violet"
293,"Segment 4",4,0,"Cash",0,"Free Shipping",0,0,"M","Green"
294,"Segment 2",2,1,"PayPal",1,"Express",0,0,"M","White"
295,"Segment 2",2,0,"Credit Card",0,"Store Pickup",0,0,"M","Gold"
296,"Segment 2",2,0,"Credit Card",0,"Store Pickup",0,0,"M","Indigo"
297,"Segment 1",1,0,"Credit Card",0,"2-Day Shipping",1,0,"S","Lavender"
298,"Segment 2",2,0,"Credit Card",0,"Standard",0,1,"XL","Purple"
299,"Segment 2",2,1,"Venmo",0,"Standard",0,0,"M","Lavender"
300,"Segment 3",3,1,"PayPal",1,"Next Day Air",0,0,"M","Maroon"
301,"Segment 1",1,1,"PayPal",0,"Store Pickup",0,0,"M","Teal"
302,"Segment 4",4,0,"Credit Card",0,"Standard",0,0,"M","Green"
303,"Segment 2",2,0,"Bank Transfer",1,"Express",0,1,"L","Olive"
304,"Segment 3",3,1,"Venmo",1,"Next Day Air",0,0,"M","Turquoise"
305,"Segment 4",4,0,"Credit Card",1,"Next Day Air",0,0,"M","Green"
306,"Segment 2",2,1,"PayPal",0,"2-Day Shipping",0,0,"M","Teal"
307,"Segment 3",3,0,"Cash",1,"Express",1,0,"S","White"
308,"Segment 3",3,0,"Credit Card",0,"Free Shipping",0,0,"M","Orange"
309,"Segment 2",2,1,"Venmo",0,"Standard",0,0,"M","Beige"
310,"Segment 2",2,0,"Cash",0,"Standard",0,0,"M","Yellow"
311,"Segment 4",4,0,"Cash",0,"Standard",0,0,"M","Charcoal"
312,"Segment 2",2,0,"Bank Transfer",0,"Store Pickup",0,1,"L","Silver"
313,"Segment 3",3,1,"PayPal",1,"Next Day Air",0,1,"L","Green"
314,"Segment 4",4,0,"Credit Card",1,"Express",0,0,"M","Pink"
315,"Segment 2",2,0,"Debit Card",0,"Store Pickup",0,0,"M","Purple"
316,"Segment 2",2,0,"Debit Card",1,"Express",0,1,"XL","Orange"
317,"Segment 2",2,1,"Venmo",0,"Free Shipping",0,0,"M","Charcoal"
318,"Segment 4",4,0,"Cash",0,"Standard",0,1,"L","Teal"
319,"Segment 3",3,0,"Cash",0,"Standard",0,0,"M","Beige"
320,"Segment 3",3,0,"Cash",0,"Standard",0,1,"XL","White"
321,"Segment 4",4,0,"Debit Card",0,"Standard",0,1,"L","White"
322,"Segment 1",1,0,"Debit Card",0,"Free Shipping",0,1,"L","Orange"
323,"Segment 3",3,0,"Credit Card",0,"Standard",1,0,"S","Cyan"
324,"Segment 4",4,1,"PayPal",1,"Next Day Air",0,0,"M","Orange"
325,"Segment 1",1,1,"Venmo",0,"Standard",0,0,"M","Olive"
326,"Segment 4",4,0,"Debit Card",0,"Free Shipping",0,0,"M","Charcoal"
327,"Segment 2",2,0,"Bank Transfer",0,"Store Pickup",0,0,"M","White"
328,"Segment 2",2,1,"PayPal",0,"Free Shipping",0,0,"M","Teal"
329,"Segment 2",2,0,"Credit Card",0,"Free Shipping",0,0,"M","Yellow"
330,"Segment 2",2,0,"Bank Transfer",0,"2-Day Shipping",1,0,"S","White"
331,"Segment 2",2,1,"Venmo",1,"Express",0,0,"M","Beige"
332,"Segment 3",3,1,"PayPal",0,"Store Pickup",0,1,"L","Beige"
333,"Segment 3",3,0,"Credit Card",0,"2-Day Shipping",0,0,"M","Maroon"
334,"Segment 1",1,0,"Bank Transfer",0,"Standard",0,0,"M","Teal"
335,"Segment 3",3,0,"Credit Card",1,"Next Day Air",0,0,"M","Lavender"
336,"Segment 3",3,1,"Venmo",0,"Standard",0,1,"L","Maroon"
337,"Segment 1",1,1,"PayPal",1,"Express",1,0,"S","Orange"
