"Customer ID","Segment","Cluster","Purchase_Frequency_Num","Frequency of Purchases","Discount_Sensitivity","Discount Applied","Promo Code Used","Subscription Status","Review Rating"
155,"Segment 4",4,4,"Quarterly",2,1,1,"Yes",3.6
156,"Segment 4",4,4,"Quarterly",2,1,1,"Yes",4.3
157,"Segment 1",1,1,"Annually",2,1,1,"Yes",4
158,"Segment 3",3,26,"Fortnightly",2,1,1,"Yes",3
159,"Segment 1",1,12,"Monthly",2,1,1,"Yes",4.1
160,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",3.8
161,"Segment 1",1,12,"Monthly",2,1,1,"Yes",4.6
162,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",3
163,"Segment 4",4,NA,"Bi-Weekly",2,1,1,"Yes",3
164,"Segment 2",2,52,"Weekly",2,1,1,"Yes",3.4
165,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",2.6
166,"Segment 3",3,12,"Monthly",2,1,1,"Yes",2.8
167,"Segment 2",2,12,"Monthly",2,1,1,"Yes",4
168,"Segment 1",1,NA,"Every 3 Months",2,1,1,"Yes",4
169,"Segment 3",3,26,"Fortnightly",2,1,1,"Yes",3
170,"Segment 3",3,NA,"Every 3 Months",2,1,1,"Yes",3.3
171,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",2.6
172,"Segment 1",1,52,"Weekly",2,1,1,"Yes",3.6
173,"Segment 4",4,NA,"Bi-Weekly",2,1,1,"Yes",3.9
174,"Segment 3",3,1,"Annually",2,1,1,"Yes",3.4
175,"Segment 2",2,1,"Annually",2,1,1,"Yes",3.5
176,"Segment 3",3,1,"Annually",2,1,1,"Yes",2.8
177,"Segment 3",3,4,"Quarterly",2,1,1,"Yes",2.7
178,"Segment 1",1,12,"Monthly",2,1,1,"Yes",3.7
179,"Segment 2",2,4,"Quarterly",2,1,1,"Yes",4.3
180,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",4.9
181,"Segment 4",4,26,"Fortnightly",2,1,1,"Yes",3.3
182,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.7
183,"Segment 3",3,1,"Annually",2,1,1,"Yes",2.8
184,"Segment 2",2,52,"Weekly",2,1,1,"Yes",3.6
185,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",3
186,"Segment 1",1,26,"Fortnightly",2,1,1,"Yes",4.5
187,"Segment 3",3,1,"Annually",2,1,1,"Yes",2.9
188,"Segment 3",3,NA,"Bi-Weekly",2,1,1,"Yes",3.3
189,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",3.1
190,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.4
191,"Segment 2",2,4,"Quarterly",2,1,1,"Yes",3
192,"Segment 4",4,NA,"Every 3 Months",2,1,1,"Yes",3.9
193,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",2.9
194,"Segment 3",3,1,"Annually",2,1,1,"Yes",3
195,"Segment 4",4,4,"Quarterly",2,1,1,"Yes",3.1
196,"Segment 2",2,12,"Monthly",2,1,1,"Yes",4.3
197,"Segment 4",4,26,"Fortnightly",2,1,1,"Yes",3.9
198,"Segment 4",4,12,"Monthly",2,1,1,"Yes",3.2
199,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",4.8
200,"Segment 4",4,52,"Weekly",2,1,1,"Yes",3.8
201,"Segment 3",3,12,"Monthly",2,1,1,"Yes",3.3
202,"Segment 2",2,1,"Annually",2,1,1,"Yes",4.3
203,"Segment 2",2,1,"Annually",2,1,1,"Yes",2.7
204,"Segment 2",2,52,"Weekly",2,1,1,"Yes",3.2
205,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",4
206,"Segment 2",2,52,"Weekly",2,1,1,"Yes",3
207,"Segment 1",1,26,"Fortnightly",2,1,1,"Yes",4.2
208,"Segment 4",4,NA,"Bi-Weekly",2,1,1,"Yes",2.9
209,"Segment 2",2,12,"Monthly",2,1,1,"Yes",4.1
210,"Segment 4",4,NA,"Every 3 Months",2,1,1,"Yes",3.2
211,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",3
212,"Segment 4",4,26,"Fortnightly",2,1,1,"Yes",4.2
213,"Segment 4",4,1,"Annually",2,1,1,"Yes",4.2
214,"Segment 1",1,NA,"Every 3 Months",2,1,1,"Yes",4.4
215,"Segment 1",1,NA,"Every 3 Months",2,1,1,"Yes",4.2
216,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",2.8
217,"Segment 2",2,52,"Weekly",2,1,1,"Yes",3.7
218,"Segment 3",3,1,"Annually",2,1,1,"Yes",3.5
219,"Segment 3",3,4,"Quarterly",2,1,1,"Yes",2.9
220,"Segment 3",3,26,"Fortnightly",2,1,1,"Yes",3
221,"Segment 1",1,26,"Fortnightly",2,1,1,"Yes",3.7
222,"Segment 1",1,4,"Quarterly",2,1,1,"Yes",4.4
223,"Segment 4",4,26,"Fortnightly",2,1,1,"Yes",4.5
224,"Segment 1",1,1,"Annually",2,1,1,"Yes",4.8
225,"Segment 4",4,NA,"Every 3 Months",2,1,1,"Yes",2.9
226,"Segment 3",3,1,"Annually",2,1,1,"Yes",3.2
227,"Segment 3",3,12,"Monthly",2,1,1,"Yes",3.3
228,"Segment 4",4,26,"Fortnightly",2,1,1,"Yes",4.2
229,"Segment 3",3,1,"Annually",2,1,1,"Yes",2.9
230,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",4.6
231,"Segment 4",4,1,"Annually",2,1,1,"Yes",4.1
232,"Segment 3",3,NA,"Every 3 Months",2,1,1,"Yes",3.1
233,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",4.2
234,"Segment 1",1,NA,"Every 3 Months",2,1,1,"Yes",4.5
235,"Segment 1",1,52,"Weekly",2,1,1,"Yes",3.7
236,"Segment 4",4,4,"Quarterly",2,1,1,"Yes",3.7
237,"Segment 3",3,26,"Fortnightly",2,1,1,"Yes",3.4
238,"Segment 4",4,26,"Fortnightly",2,1,1,"Yes",3
239,"Segment 2",2,1,"Annually",2,1,1,"Yes",4.2
240,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",2.9
241,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",3.5
242,"Segment 4",4,NA,"Bi-Weekly",2,1,1,"Yes",4.1
243,"Segment 4",4,NA,"Every 3 Months",2,1,1,"Yes",4.3
244,"Segment 3",3,12,"Monthly",2,1,1,"Yes",2.8
245,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.9
246,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",3.3
247,"Segment 3",3,NA,"Bi-Weekly",2,1,1,"Yes",3.2
248,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.4
249,"Segment 4",4,52,"Weekly",2,1,1,"Yes",4.8
250,"Segment 2",2,1,"Annually",2,1,1,"Yes",4.2
251,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4
252,"Segment 3",3,1,"Annually",2,1,1,"Yes",2.5
253,"Segment 1",1,26,"Fortnightly",2,1,1,"Yes",3.9
254,"Segment 4",4,NA,"Bi-Weekly",2,1,1,"Yes",4.9
255,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",3.5
256,"Segment 2",2,1,"Annually",2,1,1,"Yes",4.2
257,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",4.7
258,"Segment 1",1,4,"Quarterly",2,1,1,"Yes",4.5
259,"Segment 2",2,4,"Quarterly",2,1,1,"Yes",2.8
260,"Segment 3",3,1,"Annually",2,1,1,"Yes",2.9
261,"Segment 3",3,NA,"Every 3 Months",2,1,1,"Yes",3.2
262,"Segment 1",1,1,"Annually",2,1,1,"Yes",4.9
263,"Segment 1",1,1,"Annually",2,1,1,"Yes",3.7
264,"Segment 1",1,12,"Monthly",2,1,1,"Yes",4.3
265,"Segment 1",1,1,"Annually",2,1,1,"Yes",3.9
266,"Segment 3",3,NA,"Bi-Weekly",2,1,1,"Yes",3.2
267,"Segment 4",4,52,"Weekly",2,1,1,"Yes",3.1
268,"Segment 2",2,1,"Annually",2,1,1,"Yes",3.9
269,"Segment 2",2,12,"Monthly",2,1,1,"Yes",2.6
270,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",3.3
271,"Segment 1",1,1,"Annually",2,1,1,"Yes",4.6
272,"Segment 4",4,26,"Fortnightly",2,1,1,"Yes",4.6
273,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",4.4
274,"Segment 2",2,4,"Quarterly",2,1,1,"Yes",4.2
275,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",3
276,"Segment 4",4,52,"Weekly",2,1,1,"Yes",4
277,"Segment 1",1,26,"Fortnightly",2,1,1,"Yes",3.5
278,"Segment 3",3,NA,"Bi-Weekly",2,1,1,"Yes",3
279,"Segment 4",4,1,"Annually",2,1,1,"Yes",3.7
280,"Segment 1",1,12,"Monthly",2,1,1,"Yes",4
281,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",4.2
282,"Segment 3",3,NA,"Bi-Weekly",2,1,1,"Yes",2.5
283,"Segment 3",3,12,"Monthly",2,1,1,"Yes",3
284,"Segment 3",3,1,"Annually",2,1,1,"Yes",3.2
285,"Segment 2",2,4,"Quarterly",2,1,1,"Yes",3.5
286,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",4.8
287,"Segment 3",3,1,"Annually",2,1,1,"Yes",2.6
288,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",3.4
289,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",3.7
290,"Segment 4",4,12,"Monthly",2,1,1,"Yes",4.5
291,"Segment 2",2,52,"Weekly",2,1,1,"Yes",3.7
292,"Segment 2",2,12,"Monthly",2,1,1,"Yes",3.3
293,"Segment 4",4,4,"Quarterly",2,1,1,"Yes",4.7
294,"Segment 2",2,1,"Annually",2,1,1,"Yes",2.7
295,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",4.6
296,"Segment 2",2,4,"Quarterly",2,1,1,"Yes",2.7
297,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.8
298,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",4.4
299,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",4
300,"Segment 3",3,26,"Fortnightly",2,1,1,"Yes",3.2
301,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.4
302,"Segment 4",4,NA,"Every 3 Months",2,1,1,"Yes",3.8
303,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",3.6
304,"Segment 3",3,52,"Weekly",2,1,1,"Yes",3.3
305,"Segment 4",4,NA,"Bi-Weekly",2,1,1,"Yes",3.4
306,"Segment 2",2,1,"Annually",2,1,1,"Yes",3.5
307,"Segment 3",3,1,"Annually",2,1,1,"Yes",3.6
308,"Segment 3",3,NA,"Every 3 Months",2,1,1,"Yes",3.2
309,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",3.7
310,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",4.5
311,"Segment 4",4,26,"Fortnightly",2,1,1,"Yes",4.6
312,"Segment 2",2,12,"Monthly",2,1,1,"Yes",4.1
313,"Segment 3",3,1,"Annually",2,1,1,"Yes",3.4
314,"Segment 4",4,NA,"Every 3 Months",2,1,1,"Yes",3.7
315,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",3.3
316,"Segment 2",2,1,"Annually",2,1,1,"Yes",4.5
317,"Segment 2",2,12,"Monthly",2,1,1,"Yes",3.3
318,"Segment 4",4,NA,"Every 3 Months",2,1,1,"Yes",4.3
319,"Segment 3",3,1,"Annually",2,1,1,"Yes",2.5
320,"Segment 3",3,NA,"Every 3 Months",2,1,1,"Yes",2.6
321,"Segment 4",4,4,"Quarterly",2,1,1,"Yes",4.9
322,"Segment 1",1,4,"Quarterly",2,1,1,"Yes",4.7
323,"Segment 3",3,12,"Monthly",2,1,1,"Yes",3
324,"Segment 4",4,NA,"Bi-Weekly",2,1,1,"Yes",3.5
325,"Segment 1",1,4,"Quarterly",2,1,1,"Yes",4.8
326,"Segment 4",4,1,"Annually",2,1,1,"Yes",4.3
327,"Segment 2",2,52,"Weekly",2,1,1,"Yes",3.2
328,"Segment 2",2,52,"Weekly",2,1,1,"Yes",3.1
329,"Segment 2",2,52,"Weekly",2,1,1,"Yes",2.8
330,"Segment 2",2,12,"Monthly",2,1,1,"Yes",2.9
331,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",3.7
332,"Segment 3",3,4,"Quarterly",2,1,1,"Yes",3.3
333,"Segment 3",3,12,"Monthly",2,1,1,"Yes",2.8
334,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",4.5
335,"Segment 3",3,1,"Annually",2,1,1,"Yes",2.6
336,"Segment 3",3,NA,"Every 3 Months",2,1,1,"Yes",3.7
337,"Segment 1",1,1,"Annually",2,1,1,"Yes",4.4
338,"Segment 1",1,1,"Annually",2,1,1,"Yes",4.3
339,"Segment 4",4,52,"Weekly",2,1,1,"Yes",3.5
340,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",3.8
341,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",3.5
342,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",4.6
343,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",2.6
344,"Segment 1",1,12,"Monthly",2,1,1,"Yes",4.4
345,"Segment 1",1,12,"Monthly",2,1,1,"Yes",4
346,"Segment 1",1,1,"Annually",2,1,1,"Yes",4.4
347,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.7
348,"Segment 1",1,26,"Fortnightly",2,1,1,"Yes",3.9
349,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",2.7
350,"Segment 3",3,NA,"Bi-Weekly",2,1,1,"Yes",3.7
351,"Segment 3",3,26,"Fortnightly",2,1,1,"Yes",2.6
352,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",3.9
353,"Segment 1",1,NA,"Every 3 Months",2,1,1,"Yes",4.9
354,"Segment 4",4,12,"Monthly",2,1,1,"Yes",4.1
355,"Segment 4",4,52,"Weekly",2,1,1,"Yes",3
356,"Segment 1",1,NA,"Every 3 Months",2,1,1,"Yes",4.1
357,"Segment 4",4,52,"Weekly",2,1,1,"Yes",3.8
358,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",4
359,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",3.6
360,"Segment 3",3,NA,"Every 3 Months",2,1,1,"Yes",3
361,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",3
362,"Segment 4",4,1,"Annually",2,1,1,"Yes",2.6
363,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",3.4
364,"Segment 4",4,26,"Fortnightly",2,1,1,"Yes",3.1
365,"Segment 4",4,NA,"Every 3 Months",2,1,1,"Yes",3
366,"Segment 4",4,4,"Quarterly",2,1,1,"Yes",3.7
367,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",3.5
368,"Segment 2",2,12,"Monthly",2,1,1,"Yes",2.8
369,"Segment 1",1,12,"Monthly",2,1,1,"Yes",4.5
370,"Segment 2",2,4,"Quarterly",2,1,1,"Yes",3.3
371,"Segment 2",2,52,"Weekly",2,1,1,"Yes",3.4
372,"Segment 3",3,12,"Monthly",2,1,1,"Yes",3.2
373,"Segment 3",3,52,"Weekly",2,1,1,"Yes",3.7
374,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",4.6
375,"Segment 4",4,12,"Monthly",2,1,1,"Yes",5
376,"Segment 2",2,4,"Quarterly",2,1,1,"Yes",4.4
377,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",4.9
378,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",4.1
379,"Segment 1",1,12,"Monthly",2,1,1,"Yes",4.9
380,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",4.7
381,"Segment 3",3,52,"Weekly",2,1,1,"Yes",3
382,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",3.4
383,"Segment 3",3,4,"Quarterly",2,1,1,"Yes",3.2
384,"Segment 3",3,4,"Quarterly",2,1,1,"Yes",2.9
385,"Segment 2",2,1,"Annually",2,1,1,"Yes",4.5
386,"Segment 4",4,NA,"Bi-Weekly",2,1,1,"Yes",2.7
387,"Segment 2",2,4,"Quarterly",2,1,1,"Yes",3.4
388,"Segment 4",4,26,"Fortnightly",2,1,1,"Yes",4.6
389,"Segment 3",3,4,"Quarterly",2,1,1,"Yes",2.7
390,"Segment 1",1,12,"Monthly",2,1,1,"Yes",4.2
391,"Segment 3",3,1,"Annually",2,1,1,"Yes",3.2
392,"Segment 1",1,26,"Fortnightly",2,1,1,"Yes",4.8
